TIC ID;TOI;TESS Disposition;TFOPWG Disposition;Source;Period (days);Period (days) err;Date TOI Alerted (UTC);Date TOI Updated (UTC);Date Modified;Comments
469821652;3263.01;PC;PC;qlp;56.155.837;0.0000636;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
468055102;3264.01;PC;PC;qlp;33.133.491;0.0000196;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
466167563;3265.01;PC;PC;qlp;33.792.968;0.0000235;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
451566438;3266.01;PC;PC;qlp;37.462.787;0.000015;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
410372968;3267.01;PC;PC;qlp;27.674.682;0.0000185;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
410358456;3268.01;PC;PC;qlp;18.641.301;0.0000061;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
410314178;3269.01;PC;PC;qlp;41.320.394;0.0000224;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
407922734;3270.01;PC;PC;qlp;6.475.067;0.0000455;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
406236094;3271.01;PC;PC;qlp;41.394.473;0.0000165;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
388280249;3272.01;PC;PC;qlp;3.146.757;0.0000214;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
372443687;3273.01;PC;PC;qlp;42.955.192;0.0000155;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
360822008;3274.01;PC;PC;qlp;29.075.077;0.0000232;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
325275736;3275.01;PC;PC;qlp;205.020.769;0.0009525;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
320327056;3276.01;PC;PC;qlp;70.327.412;0.0000283;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
319568619;3277.01;PC;PC;qlp;15.265.889;0.0000018;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
304130406;3278.01;PC;PC;qlp;32.464.257;0.0013149;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
179987678;3279.01;PC;PC;qlp;0.4191361;0.0000012;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
